job,key,calc_id,sources,gmm,trunc,site_params,n_realizations
c_is_cm_deep_nest,9043d5a0,228,"{""is-classmask-is_deep_nest"": ""mask_by_class-intra_slabNone50.0slab_deep50.0None""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_cm_intra_slab,ead697b3,224,"{""is-classmask-is_intra_slab"": ""mask_by_class-intra_slabNone50.0slab_deep50.0None""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_cm_slab_deep,bf729176,226,"{""is-classmask-is_slab_deep"": ""mask_by_class-intra_slabNone50.0slab_deep50.0None""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_dc_gk74sym,3ff9f17d,186,"{""is-dc_gk74sym-is"": ""dc_method-gk74_sym""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_dc_gruenthal,8a650257,187,"{""is-dc_gruenthal-is"": ""dc_method-gruenthal""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_deep_nest,50ffb734,227,"{""is-ref-is_deep_nest"": ""ref""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_dip45,b40276e5,199,"{""is-dip45-is"": ""npd-0.50.045.090.00.5180.045.090.0""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_dip90,05ccb700,200,"{""is-dip90-is"": ""npd-0.50.090.090.00.5180.090.090.0""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_dmax200,a26e0618,233,"{""is-dmax200-is"": ""max_dist_km-200.0""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_gauss,b032fd02,232,"{""is-gauss-is"": ""kernel-gauss""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_gmm_ag,124f01ff,202,"{""is-ref-is"": ""ref""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab""]}",3.0,{},1
c_is_gmm_mv,1e6a7c7f,204,"{""is-ref-is"": ""ref""}","{""Subduction IntraSlab"": [""MontalvaEtAl2017SSlab""]}",3.0,{},1
c_is_gmm_pk,039d2d7f,203,"{""is-ref-is"": ""ref""}","{""Subduction IntraSlab"": [""ParkerEtAl2020SSlab""]}",3.0,{},1
c_is_intra_slab,4b0e9372,223,"{""is-ref-is_intra_slab"": ""ref""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_is_fit55,d933f9d5,190,"{""is-is_fit55-is"": ""mmin_fit_by_class-slab_deep5.8intra_slab5.5""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_is_fit58,818ecff4,191,"{""is-is_fit58-is"": ""mmin_fit_by_class-slab_deep5.8intra_slab5.8""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_mc_hi,7eff2b68,248,"{""is-mc_hi-is"": ""va7cb71d878""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_mc_lo,0a71c217,247,"{""is-mc_lo-is"": ""v5d927104bc""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_mmin55,e02518a4,201,"{""is-mmin55-is"": ""mmin-5.5""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_msr_ah,4930f47b,198,"{""is-msr_ah-is"": ""msr-AllenHayesIntraslab""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_nn10,c022e58f,196,"{""is-nn10-is"": ""n_neighbors-10""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_nn50,e422f087,197,"{""is-nn50-is"": ""n_neighbors-50""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_num,52c06782,208,"{""is-ref-is"": ""ref""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_pad0,089ccf41,192,"{""is-pad0-is"": ""mmax_pad-0.0""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_pad04,32c7ebcf,193,"{""is-pad04-is"": ""mmax_pad-0.4_mmax_sanity-8.5""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
