site,imt,return_period,family,axis,row,iml_ref,iml,rel_pct
iquique,PGA,2475,intraslab,no declustering (full catalog),raw,2.2677983639172306,2.2149218421604107,-2.331623595736476
iquique,PGA,2475,intraslab,classification tolerance -5 / +5 km,cls_m5,2.2677983639172306,2.3264225128724387,2.585068844213523
iquique,PGA,2475,intraslab,classification tolerance -5 / +5 km,cls_p5,2.2677983639172306,2.191265468979633,-3.3747663000073924
iquique,PGA,2475,intraslab,default-depth events to interface,cls_fix,2.2677983639172306,2.283329327434763,0.6848476374550883
iquique,PGA,2475,intraslab,"completeness table, ends of the ensemble",mc_lo,2.2677983639172306,2.2216447108194024,-2.03517445960697
iquique,PGA,2475,intraslab,"completeness table, ends of the ensemble",mc_hi,2.2677983639172306,2.2865252388293076,0.825773367246363
iquique,PGA,2475,intraslab,slab_deep b: floor 5.7 / 6.0,sd_fit57,2.2677983639172306,2.2362323481228015,-1.3919233868704417
iquique,PGA,2475,intraslab,slab_deep b: floor 5.7 / 6.0,sd_fit60,2.2677983639172306,2.308820943543014,1.8089165367825677
iquique,PGA,2475,intraslab,intra_slab b: floor 5.5 / 5.8,is_fit55,2.2677983639172306,2.2151357537317797,-2.322191030003451
iquique,PGA,2475,intraslab,intra_slab b: floor 5.5 / 5.8,is_fit58,2.2677983639172306,2.3169097966888814,2.1655996208948425
iquique,PGA,2475,intraslab,Mmax pad 0 / 0.4,pad0,2.2677983639172306,2.18489819502873,-3.6555352630780025
iquique,PGA,2475,intraslab,Mmax pad 0 / 0.4,pad04,2.2677983639172306,2.3421985870910977,3.280724792717171
iquique,PGA,2475,intraslab,"depths by slab-top regime, not thickness fraction",regime,2.2677983639172306,2.278934121546158,0.4910382601075902
iquique,PGA,2475,intraslab,"previous geometry: top + 7.5 km, depth-rule band",band_rule,2.2677983639172306,2.2825343739463575,0.6497936617113176
iquique,PGA,2475,intraslab,smoothing neighbours 10 / 50,nn10,2.2677983639172306,2.2412921954368175,-1.1688062264331278
iquique,PGA,2475,intraslab,smoothing neighbours 10 / 50,nn50,2.2677983639172306,2.2873600631734927,0.862585473537103
iquique,PGA,2475,intraslab,pattern from all complete events / + calibrated kernel,smooth_all,2.2677983639172306,2.2677983639172306,0.0
iquique,PGA,2475,intraslab,pattern from all complete events / + calibrated kernel,smooth_cv,2.2677983639172306,2.207290921335554,-2.6681138651657
iquique,PGA,2475,intraslab,kernel gaussian / cut-off 200 km,gauss,2.2677983639172306,2.2185948359736307,-2.169660615620572
iquique,PGA,2475,intraslab,kernel gaussian / cut-off 200 km,dmax200,2.2677983639172306,2.2529611330866945,-0.6542570568270123
iquique,PGA,2475,intraslab,rupture scaling: Allen & Hayes,msr_ah,2.2677983639172306,2.1981461390423296,-3.0713588113975288
iquique,PGA,2475,intraslab,rupture aspect ratio 2,asp20,2.2677983639172306,2.2367991443745314,-1.3669301484614094
iquique,PGA,2475,intraslab,rupture dip 45 / 90,dip45,2.2677983639172306,2.212138018777332,-2.45437804460511
iquique,PGA,2475,intraslab,rupture dip 45 / 90,dip90,2.2677983639172306,2.3187567717818176,2.2470431531913304
iquique,PGA,2475,intraslab,sources from M5.5,mmin55,2.2677983639172306,2.267798376570579,5.579573914005209e-07
iquique,PGA,2475,intraslab,GMM (single vs tree),gmm_ag,2.2677983639172306,2.151331990777477,-5.135658222214168
iquique,PGA,2475,intraslab,GMM (single vs tree),gmm_pk,2.2677983639172306,2.7364556486785117,20.665738727836303
iquique,PGA,2475,intraslab,GMM (single vs tree),gmm_mv,2.2677983639172306,1.7871727401060702,-21.193490191119214
iquique,PGA,2475,crustal,faults vs no faults,nofaults,2.2677983639172306,2.2652459423275007,-0.11255064075983423
iquique,PGA,2475,crustal,buffer margin 0 / 20 km,margin0,2.2677983639172306,2.2680931568549987,0.012999080626330262
iquique,PGA,2475,crustal,buffer margin 0 / 20 km,margin20,2.2677983639172306,2.267761846336665,-0.0016102657602545811
iquique,PGA,2475,crustal,cap and fault Mmin 6.5,cap65,2.2677983639172306,2.2678552469863513,0.002508294830172453
iquique,PGA,2475,crustal,declustering,dc_gruenthal,2.2677983639172306,2.2678016006330908,0.00014272502846246482
iquique,PGA,2475,crustal,no declustering (full catalog),raw,2.2677983639172306,2.2677979510619526,-1.8205114027392e-05
iquique,PGA,2475,crustal,classification tolerance -5 / +5 km,cls_m5,2.2677983639172306,2.267797001287322,-6.008602573270849e-05
iquique,PGA,2475,crustal,classification tolerance -5 / +5 km,cls_p5,2.2677983639172306,2.2677971698166535,-5.265461850978426e-05
iquique,PGA,2475,crustal,default-depth events to interface,cls_fix,2.2677983639172306,2.267798219879639,-6.351428505357859e-06
iquique,PGA,2475,crustal,background Mmax 7.5,mmax75,2.2677983639172306,2.267920744027036,0.005396428172477208
iquique,PGA,2475,crustal,GMM (single vs tree),gmm_ask,2.2677983639172306,2.268415482967366,0.02721225396200566
iquique,PGA,2475,crustal,GMM (single vs tree),gmm_bssa,2.2677983639172306,2.265618322658666,-0.09613029505846082
iquique,PGA,2475,crustal,GMM (single vs tree),gmm_cb,2.2677983639172306,2.2703229312335873,0.11132238899740354
iquique,PGA,2475,crustal,GMM (single vs tree),gmm_cy,2.2677983639172306,2.266826660850515,-0.0428478599409865
iquique,PGA,2475,all,truncation 2.5 / 4.0,tr25,2.2677983639172306,2.1073976014368654,-7.072972845932412
iquique,PGA,2475,all,truncation 2.5 / 4.0,tr40,2.2677983639172306,2.372074957136958,4.598142184017084
iquique,PGA,2475,all,truncation 2.0,tr20,2.2677983639172306,1.85456041434691,-18.22198816902413
iquique,PGA,2475,all,"numerics: mesh 5 km, point-source distance 100 km",num,2.2677983639172306,2.2863596105969166,0.8184698858157979
iquique,PGA,2475,all,"no declustering, all families",raw,2.2677983639172306,2.080177399952929,-8.273264808261827
iquique,PGA,2475,all,"classification tolerance -5 / +5 km, all families",cls_m5,2.2677983639172306,2.326665256724108,2.595772787541617
iquique,PGA,2475,all,"classification tolerance -5 / +5 km, all families",cls_p5,2.2677983639172306,2.2054306397192374,-2.7501441570080165
iquique,PGA,2475,all,"default-depth events to interface, all families",cls_fix,2.2677983639172306,2.2811230305436143,0.5875595837086633
antofagasta,PGA,475,interface,Z_BOTTOM 40 / 60 km,zbot40,1.3902837109955062,1.4634445223344243,5.262293642679006
antofagasta,PGA,475,interface,Z_BOTTOM 40 / 60 km,zbot60,1.3902837109955062,1.3598090861119156,-2.1919716560420133
antofagasta,PGA,475,interface,Z_TOP 10 km,ztop10,1.3902837109955062,1.4384105516743808,3.461656084887421
antofagasta,PGA,475,interface,declustering,dc_gk74sym,1.3902837109955062,1.4185842180139019,2.035592217226756
antofagasta,PGA,475,interface,declustering,dc_gruenthal,1.3902837109955062,1.400722239828337,0.7508200484745986
antofagasta,PGA,475,interface,no declustering (full catalog),raw,1.3902837109955062,1.2384607172759932,-10.920288608632323
antofagasta,PGA,475,interface,classification tolerance -5 / +5 km,cls_m5,1.3902837109955062,1.387813425584745,-0.17768210842320498
antofagasta,PGA,475,interface,classification tolerance -5 / +5 km,cls_p5,1.3902837109955062,1.4088288295711417,1.333908930167671
antofagasta,PGA,475,interface,default-depth events to interface,cls_fix,1.3902837109955062,1.3879272409313885,-0.1694956249203461
antofagasta,PGA,475,interface,"completeness table, ends of the ensemble",mc_lo,1.3902837109955062,1.3301740938769797,-4.323550412274146
antofagasta,PGA,475,interface,"completeness table, ends of the ensemble",mc_hi,1.3902837109955062,1.4167530605965162,1.903881156893994
antofagasta,PGA,475,interface,keep 1962 / 1998 events,keep6298,1.3902837109955062,1.401507027186121,0.8072680490932571
antofagasta,PGA,475,interface,b: fit floor 5.4 / 6.0,fit54,1.3902837109955062,1.3048362496013897,-6.146044920063998
antofagasta,PGA,475,interface,b: fit floor 5.4 / 6.0,fit60,1.3902837109955062,1.4464972249169388,4.043312417231815
antofagasta,PGA,475,interface,MMIN_HAZ 6.5,mmin65,1.3902837109955062,1.39167191026382,0.09985007069670537
antofagasta,PGA,475,interface,geometry: segmented,seg,1.3902837109955062,1.1662205864035649,-16.116359763109212
antofagasta,PGA,475,interface,rate: geodetic (mid),geo,1.3902837109955062,1.4194057673342715,2.0946844236499507
