site,imt,return_period,family,axis,iml_ref,lo,hi,row_lo,row_hi,range
antofagasta,PGA,475,all,truncation 2.5 / 4.0,1.3902837109955062,-4.161276351171028,2.50076148014442,tr25,tr40,6.662037831315448
antofagasta,PGA,475,all,truncation 2.0,1.3902837109955062,-11.367590253517335,0.0,tr20,tr20,11.367590253517335
antofagasta,PGA,475,all,"numerics: mesh 5 km, point-source distance 100 km",1.3902837109955062,0.0,1.1439000368431484,num,num,1.1439000368431484
antofagasta,PGA,475,all,"no declustering, all families",1.3902837109955062,-14.01873864713654,0.0,raw,raw,14.01873864713654
antofagasta,PGA,475,all,"classification tolerance -5 / +5 km, all families",1.3902837109955062,-3.528755774964376,2.6278400282170766,cls_p5,cls_m5,6.156595803181453
antofagasta,PGA,475,all,"default-depth events to interface, all families",1.3902837109955062,0.0,0.4929908615486367,cls_fix,cls_fix,0.4929908615486367
antofagasta,PGA,2475,interface,Z_BOTTOM 40 / 60 km,2.6631934009843268,-2.3114343984740104,5.600144734486334,zbot60,zbot40,7.911579132960345
antofagasta,PGA,2475,interface,Z_TOP 10 km,2.6631934009843268,0.0,3.5089335308942315,ztop10,ztop10,3.5089335308942315
antofagasta,PGA,2475,interface,declustering,2.6631934009843268,0.0,1.8988315794010946,dc_gruenthal,dc_gk74sym,1.8988315794010946
antofagasta,PGA,2475,interface,no declustering (full catalog),2.6631934009843268,-11.20577622277269,0.0,raw,raw,11.20577622277269
antofagasta,PGA,2475,interface,classification tolerance -5 / +5 km,2.6631934009843268,0.0,1.0096069656658102,cls_m5,cls_p5,1.0096069656658102
antofagasta,PGA,2475,interface,default-depth events to interface,2.6631934009843268,-0.18485487804607015,0.0,cls_fix,cls_fix,0.18485487804607015
antofagasta,PGA,2475,interface,"completeness table, ends of the ensemble",2.6631934009843268,-3.5990520198044718,1.6519992131780237,mc_lo,mc_hi,5.251051232982496
antofagasta,PGA,2475,interface,keep 1962 / 1998 events,2.6631934009843268,0.0,0.6742780833815187,keep6298,keep6298,0.6742780833815187
