lon,lat,vs30
-75.086415178,-50.481588208,380
-75.086415178,-50.531588208,380
-75.086415178,-50.631588208,380
-75.086415178,-50.681588208,380
-75.086415178,-50.731588208,380
-75.086415178,-50.781588208,380
-75.086415178,-51.281588208,380
-75.086415178,-51.331588208,380
-75.086415178,-51.381588208,380
-75.086415178,-51.431588208,380
-75.086415178,-51.481588208,380
-75.086415178,-51.731588208,380
-75.086415178,-51.781588208,380
-75.086415178,-51.831588208,380
-75.086415178,-51.881588208,380
-75.086415178,-51.981588208,380
-75.036415178,-44.831588208,380
-75.036415178,-44.881588208,380
-75.036415178,-44.931588208,380
-75.036415178,-45.881588208,380
-75.036415178,-45.931588208,380
-75.036415178,-45.981588208,380
-75.036415178,-46.031588208,380
-75.036415178,-46.081588208,380
-75.036415178,-46.131588208,380
-75.036415178,-46.231588208,380
-75.036415178,-46.281588208,380
-75.036415178,-46.331588208,380
-75.036415178,-46.381588208,380
