ogc_fid,id_sys,id_flt,id_seg,name,dips,dip,dip_dir,slip_rates,slip_rate,rup_type,downt_side,len_st,upp_sd,low_sd,az_tr,id_area,usd,lsd,min_mag,max_mag,a_val,b_val,length_km
80,,CL-004,CL-004b,Falla Lanalhue 004b,>60,72.000000000000000,NE,0.1-1,0.500000000000000,sinistral-reverse,None,126.421367639077246,0.000000000000000,20.000000000000000,324.914548584070758,"55",0.000000000000000,18.000000000000000,4.500000000000000,7.500000000000000,5.266703881500000,1.008393809040000,126
81,,CL-001,CL-001a,San Ramon 01a,40-55,37.000000000000000,E,"0.4",0.400000000000000,reverse,None,28.218309738167768,0.000000000000000,20.000000000000000,357.518089342713893,"56",0.000000000000000,24.000000000000000,4.500000000000000,7.800000000000000,4.382997488590000,0.923345568879000,28
82,,CL-003,CL-003,Falla Pichilemu,>60,72.000000000000000,SW,0.1-1,0.500000000000000,normal,None,34.444401780596813,0.000000000000000,20.000000000000000,135.678281572887727,"55",0.000000000000000,18.000000000000000,4.500000000000000,7.500000000000000,5.266703881500000,1.008393809040000,34
83,,CL-002,CL-002b,Falla Topocalma 002b,>60,72.000000000000000,SW,0.1-1,0.500000000000000,normal,None,34.568162937866703,0.000000000000000,20.000000000000000,142.464767538542105,"55",0.000000000000000,18.000000000000000,4.500000000000000,7.500000000000000,5.266703881500000,1.008393809040000,35
84,,CL-002,CL-002c,Falla Topocalma 002c,>60,72.000000000000000,NE,0.1-1,0.500000000000000,normal,None,42.252257459636056,0.000000000000000,20.000000000000000,315.583970017082379,"55",0.000000000000000,18.000000000000000,4.500000000000000,7.500000000000000,5.266703881500000,1.008393809040000,42
85,,CL-006dd,CL-006e,Falla Ralco 006e,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,18.180635928468192,0.000000000000000,20.000000000000000,13.437402022181743,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,18
86,,CL-012,CL-012,Falla Sierra Nevada,"90.",87.000000000000000,VERTICAL,0.1-1,0.500000000000000,dextral-normal,None,13.822408017885628,0.000000000000000,20.000000000000000,66.328090277446449,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,14
87,,CL-013,CL-013,Falla Escorial,>60,72.000000000000000,W,0.1-1,0.500000000000000,dextral-normal,None,41.278449052907924,0.000000000000000,20.000000000000000,214.487999468496582,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,41
88,,CL-010,CL-010,Falla Bio-Bio Aluminé,>60,72.000000000000000,SW,0.1-1,0.500000000000000,sinistral-reverse,None,44.904295206099334,0.000000000000000,20.000000000000000,148.340616100116819,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,45
89,,CL-006ll,CL-006m,Falla Troyo 006m,"90.",87.000000000000000,VERTICAL,1.0-5.0,3.000000000000000,dextral,None,28.433532758541165,0.000000000000000,20.000000000000000,13.065827549729875,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,28
90,,CL-006o,CL-006gc,Falla Lolco 006c,>60,72.000000000000000,W,1.0-5.0,3.000000000000000,dextral-normal,None,36.596854149282954,0.000000000000000,20.000000000000000,213.674027607285240,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,37
91,,CL-006o,CL-006gb,Falla Lolco 006b,>60,72.000000000000000,W,1.0-5.0,3.000000000000000,dextral-normal,None,47.559219332676925,0.000000000000000,20.000000000000000,216.912850829133305,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,48
92,,CL-008,CL-008,Falla Ranquil,>60,72.000000000000000,SE,0.1-1,0.500000000000000,dextral-normal,None,27.049956226387724,0.000000000000000,20.000000000000000,48.390561791293635,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,27
93,,CL-007,CL-007,Falla Cahquilvin,"90",87.000000000000000,NW,0.1-1,0.500000000000000,dextral-normal,None,28.109677301769448,0.000000000000000,20.000000000000000,241.092385716969204,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,28
94,,CL-006ll,CL-006j,Falla Troyo 006j,"90.",87.000000000000000,VERTICAL,1.0-5.0,3.000000000000000,dextral,None,13.106611150612567,0.000000000000000,20.000000000000000,9.652008947705554,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,13
