longitude,latitude,mag,kernel_r_km
-68.512,-22.76,5.3,35.2339700000128
-67.367,-21.906,5.2,37.11672190315137
-66.864,-24.128,5.2,27.899992759208942
-69.9,-24.3,5.3,44.48955094716598
-69.22,-28.26,5.8,45.69625888852501
-69.48,-20.01,5.8,44.7499408064612
-68.79,-21.22,5.6,24.533065627540797
-67.1,-27.976,5.3,36.60914585048268
-67.553,-28.75,5.2,43.063662567450464
-69.045,-22.76,5.3,32.778765027919036
-68.376,-22.547,5.3,35.5857270381814
-69.211,-18.895,5.6,34.66378526249431
-68.944,-20.294,5.3,34.07189902234667
-66.88,-24.15,5.4,29.76743561584182
-69.08,-23.85,5.3,36.63233935092931
-71.25,-17.45,5.3,53.950441462732435
-71.37,-35.873,5.3,41.23755410070876
-68.951,-31.648,5.3,35.55020252328644
-67.538,-19.162,5.7,42.42662802742054
-67.22,-18.76,5.7,53.19512954810217
-68.406,-22.304,5.3,37.82423017856785
-70.041,-32.436,5.6,38.517068145710695
-70.28,-17.35,5.6,39.52551965935769
-68.918,-19.897,5.4,34.4589758748691
-68.296,-21.641,5.2,29.439818087593462
-65.92,-22.04,7.1,46.91924116318455
-70.357,-34.602,5.3,53.96578735570965
-66.723,-21.509,5.0,21.89205777850736
-68.31,-32.98,5.3,99.84079178570246
-71.003,-31.426,5.1,50.743266936006904
-68.987,-28.076,5.0,43.58319236203502
-67.068,-24.236,5.3,25.363532424261017
-70.62,-33.45,5.5,37.232497028728744
-68.706,-31.201,5.0,31.551493421432713
-69.54,-18.32,6.1,33.080900750072516
-69.19,-18.899,5.2,33.854810615383386
-66.701,-23.938,5.0,29.4186674884361
-70.39,-33.85,5.6,39.436161469722705
-67.641,-24.28,5.3,35.41935056096506
-69.491,-27.672,5.1,43.880311591106896
-67.066,-23.621,5.0,45.02806278783131
-70.06,-27.06,5.5,64.36838066731362
-68.817,-19.2,5.1,45.01350559216141
-70.19,-33.15,5.4,36.37173869588024
-68.53,-23.34,5.3,38.78091472782813
-66.12,-22.82,6.1,40.25022905970298
-68.81,-22.761,5.3,30.29662798337382
-67.924,-23.013,5.1,43.18398240802217
-68.436,-21.778,5.1,27.6258950499929
-68.537,-23.991,5.0,47.874813478846185
-66.362,-21.098,5.0,51.24389686289904
-70.322,-29.529,5.1,62.141040936613756
-69.003,-19.623,5.2,29.005406163133745
-68.184,-21.139,5.3,30.162839223539454
-68.845,-28.016,5.0,50.918978213177034
-71.02,-31.779,5.0,45.44550505596118
-69.086,-17.67,5.1,39.87806996464786
-66.664,-27.885,5.4,22.48655501177825
-68.31,-22.22,5.5,38.61294087490599
-70.989,-30.848,5.4,45.83673932413829
