id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class
5267,1977/08/23,-68.226,-21.317,99,5.6,mw,,,,,125,37,-94,309,53,-87,-1.326e+17,8.97e+16,4.29e+16,3.16e+16,-2.98e+16,-8.72e+16,USGS,,slab_deep,105.23260498,slab_deep
5268,1977/08/23,-68.23,-21.32,136,5.4,mw,0,0,4.5,,125,37,-94,309,53,-87,-1.326e+17,8.97e+16,4.29e+16,3.16e+16,-2.98e+16,-8.72e+16,GCMT,,slab_deep,105.23260498,slab_deep
5286,1977/09/20,-68.51,-23.57,123.8,5.6,mw,0.04,0.05,1.8,,164,47,-44,288,59,-127,-2.322e+17,1.119e+17,1.203e+17,1.5e+17,5.5e+16,-2.139e+17,GCMT,,slab_deep,86.8205947876,slab_deep
5296,1977/10/05,-71.43,-28.34,52.7,5.5,mw,0.04,0.05,2.5,,16,36,113,168,57,74,1.703e+17,2.79e+16,-1.982e+17,3.97e+16,-7.41e+16,-5.6e+15,GCMT,,intra_slab,20.7891216278,intra_slab
5327,1977/11/23,-67.69,-31.22,20.8,7.5,mw,0.01,0.01,0.4,,183,44,90,4,46,90,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,GCMT,,backarc,,unclassified
5350,1977/11/24,-67.631,-31.304,33,6.1,mw,,,,,190,34,91,8,56,89,2.04e+17,1.005e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,USGS,,backarc,,unclassified
5355,1977/11/24,-68.05,-31.53,46.5,5.6,mw,0.04,0.06,2.5,,190,34,91,8,56,89,2.04e+17,1.005e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,GCMT,,backarc,,unclassified
5395,1977/11/28,-68.21,-32.02,33.1,5.6,mw,0.08,0.09,5.5,,150,52,27,43,69,139,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.46e+16,-5.27e+16,GCMT,,backarc,,unclassified
5392,1977/11/28,-67.64,-31.67,15,6.1,mw,0.08,0.08,0,,182,21,106,345,70,84,1.174e+18,2.18e+17,-1.391e+18,-4.24e+17,1.488e+18,2.12e+17,GCMT,,backarc,,unclassified
5413,1977/12/05,-68.22,-31.57,32,5.7,mw,0.07,0.07,0,,103,65,-5,195,86,-154,2.46e+16,1.995e+17,-2.241e+17,-2.25e+16,2.325e+17,3.903e+17,GCMT,,backarc,,unclassified
5414,1977/12/06,-68.11,-31.43,19,5.9,mw,0.05,0.06,0,,181,37,82,11,54,96,6.121e+17,2.788e+17,-8.909e+17,5.54e+16,2.254e+17,-1.37e+17,GCMT,,backarc,,unclassified
5418,1977/12/07,-67.386,-28.573,124,5.8,mw,,,,,148,42,-82,318,48,-97,-1.84e+17,6.38e+16,1.201e+17,2.37e+16,-5.4e+15,-1.017e+17,USGS,,slab_deep,105.188591003,slab_deep
5419,1977/12/07,-67.32,-28.58,143.9,5.5,mw,0.05,0.06,2,,148,42,-82,318,48,-97,-1.84e+17,6.38e+16,1.201e+17,2.37e+16,-5.4e+15,-1.017e+17,GCMT,,slab_deep,106.678894043,slab_deep
5423,1977/12/10,-68.03,-31.28,34.9,5.5,mw,0.07,0.1,4.4,,199,29,117,348,65,76,1.126e+17,7.77e+16,-1.902e+17,-1.97e+16,1.137e+17,-1.4e+15,GCMT,,backarc,,unclassified
5438,1978/01/02,-71.61,-37.96,144,5.5,mw,0.08,0.08,3.4,,93,53,-9,189,83,-142,-1.84e+16,4.66e+16,-2.82e+16,-1.97e+16,1.21e+17,1.454e+17,GCMT,,slab_deep,100.714691162,slab_deep
5450,1978/01/17,-68.08,-31.53,23,6,mw,0.05,0.05,0,,142,66,12,47,79,156,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.094e+17,-1.401e+17,GCMT,,backarc,,unclassified
5456,1978/01/20,-70.19,-34.278,132,6.1,mw,,,,,183,26,-98,12,64,-86,-2.592e+17,4.56e+16,2.136e+17,-5.36e+16,-1.819e+17,1.94e+16,USGS,,slab_deep,103.40309906,slab_deep
5457,1978/01/20,-70.04,-34.55,109.3,5.6,mw,0.06,0.04,3,,183,26,-98,12,64,-86,-2.592e+17,4.56e+16,2.136e+17,-5.36e+16,-1.819e+17,1.94e+16,GCMT,,slab_deep,114.88772583,slab_deep
5458,1978/01/22,-73.56,-16.82,84.1,5.3,mw,0.06,0.07,3.2,,143,32,101,311,59,83,1.067e+17,-4.86e+16,-5.81e+16,-4.22e+16,2.14e+16,1.95e+16,GCMT,,intra_slab,24.2416362762,intra_slab
5475,1978/02/17,-71.021,-28.57,55,6.1,mw,,,,,141,23,35,18,77,109,5.823e+16,-2.03e+15,-5.62e+16,5.207e+16,9.218e+16,2.379e+16,USGS,,intra_slab,39.168094635,intra_slab
5477,1978/02/17,-71.47,-28.59,66,5.3,mw,0.1,0.08,8.1,,141,23,35,18,77,109,5.823e+16,-2.03e+15,-5.62e+16,5.207e+16,9.218e+16,2.379e+16,GCMT,,intra_slab,23.1601028442,intra_slab
5502,1978/04/02,-69.42,-19.55,118.4,5.6,mw,0.03,0.04,1.7,,155,37,-87,331,53,-92,-2.84e+17,9.58e+16,1.882e+17,4.43e+16,-6.05e+16,-6.12e+16,GCMT,,slab_deep,81.8037185669,slab_deep
5510,1978/04/15,-74.1,-16.78,51,5.6,mw,0.07,0.08,2.9,,311,46,48,183,58,124,2.317e+17,8.76e+16,-3.193e+17,-2.76e+16,-9.29e+16,1.932e+17,GCMT,,intra_slab,14.8224391937,intra_slab
5544,1978/06/07,-68.05,-23.7,128.7,5.6,mw,0.04,0.04,1.7,,167,28,-78,333,62,-97,-2.226e+17,-1.27e+16,2.353e+17,8.5e+16,-1.487e+17,-1.126e+17,GCMT,,slab_deep,97.5112228394,slab_deep
