site,domain,level,poe
santiago_penalolen,total,0.13675549600367723,0.06098722937669369
santiago_penalolen,total,0.17050735128986647,0.04260223341652886
santiago_penalolen,total,0.21258931226503822,0.029380977028823665
santiago_penalolen,total,0.2650572854919946,0.019996329180887538
santiago_penalolen,total,0.3304745842763549,0.01340858387949703
santiago_penalolen,total,0.412037158872693,0.008833388698218907
santiago_penalolen,total,0.513729734053947,0.005694801699439264
santiago_penalolen,total,0.6405204821167169,0.003575437597532071
santiago_penalolen,total,0.7986037420367598,0.0021744620843281164
santiago_penalolen,total,0.9957026427749722,0.001273562200053037
santiago_penalolen,total,1.2414464153405262,0.0007138048687686934
santiago_penalolen,total,1.547840827123473,0.00037981786079894825
santiago_penalolen,total,1.92985472148076,0.00018978464829889395
santiago_penalolen,total,2.4061513178605933,8.760626090449502e-05
santiago_penalolen,total,3.0,3.665090608713866e-05
concepcion,total,0.005,0.9416980803059416
concepcion,total,0.006234021895737255,0.9166042298735115
concepcion,total,0.007772605799306304,0.8835713238917289
concepcion,total,0.009690918947961973,0.8416525961453097
concepcion,total,0.012082680182281997,0.7904561669888901
concepcion,total,0.015064738563107317,0.7303476902347981
concepcion,total,0.01878278201119368,0.662557364740688
concepcion,total,0.023418454864128246,0.5891531224424945
concepcion,total,0.02919823207746202,0.5128421093187294
concepcion,total,0.036404483617543226,0.4366568295296746
concepcion,total,0.04538926959495454,0.3635574925029187
concepcion,total,0.05659154009729356,0.29606479075979464
concepcion,total,0.07055858001600415,0.23600274756613637
concepcion,total,0.08797274655037983,0.18437435666960658
concepcion,total,0.10968480564464235,0.14139417726949316
concepcion,total,0.13675549600367723,0.10664002336319538
concepcion,total,0.17050735128986647,0.0792504328350304
concepcion,total,0.21258931226503822,0.05813510803209497
concepcion,total,0.2650572854919946,0.04214962260099125
concepcion,total,0.3304745842763549,0.03021592927890595
concepcion,total,0.412037158872693,0.021402386012766495
concepcion,total,0.513729734053947,0.014947456886130377
concepcion,total,0.6405204821167169,0.01025820190527011
concepcion,total,0.7986037420367598,0.006887899472122075
concepcion,total,0.9957026427749722,0.004500462385202982
concepcion,total,1.2414464153405262,0.0028441188337106718
concepcion,total,1.547840827123473,0.0017273316152684847
concepcion,total,1.92985472148076,0.0010014341896094254
concepcion,total,2.4061513178605933,0.0005500439385214123
concepcion,total,3.0,0.00028347339760439327
pucon,total,0.005,0.7781602165990508
pucon,total,0.006234021895737255,0.714066994360368
pucon,total,0.007772605799306304,0.642353422162775
pucon,total,0.009690918947961973,0.5656809888353567
pucon,total,0.012082680182281997,0.4873283989618066
pucon,total,0.015064738563107317,0.4107128694258161
pucon,total,0.01878278201119368,0.3388893355326729
pucon,total,0.023418454864128246,0.27414128241722946
pucon,total,0.02919823207746202,0.21779695132651836
pucon,total,0.036404483617543226,0.17026415214503643
pucon,total,0.04538926959495454,0.13122408415158282
pucon,total,0.05659154009729356,0.0998787276174641
pucon,total,0.07055858001600415,0.07517870339459042
pucon,total,0.08797274655037983,0.055994602109870166
pucon,total,0.10968480564464235,0.04124175481067504
pucon,total,0.13675549600367723,0.02996655236750083
pucon,total,0.17050735128986647,0.02138819837747725
pucon,total,0.21258931226503822,0.014905663950582675
pucon,total,0.2650572854919946,0.010072892816904638
pucon,total,0.3304745842763549,0.006556029406465314
pucon,total,0.412037158872693,0.0040845168224292105
pucon,total,0.513729734053947,0.0024242781255094078
pucon,total,0.6405204821167169,0.0013661036739744299
pucon,total,0.7986037420367598,0.0007300014322110652
pucon,total,0.9957026427749722,0.00036975170313767176
pucon,total,1.2414464153405262,0.0001766266374608676
pucon,total,1.547840827123473,7.866985563636036e-05
pucon,total,1.92985472148076,3.2945918868951194e-05
pucon,total,2.4061513178605933,1.2810610382768928e-05
pucon,total,3.0,4.594507766527488e-06
puerto_montt,total,0.005,0.6296386691041294
puerto_montt,total,0.006234021895737255,0.5674816621499134
puerto_montt,total,0.007772605799306304,0.5031136605867651
puerto_montt,total,0.009690918947961973,0.438506022874452
puerto_montt,total,0.012082680182281997,0.37561584942308224
puerto_montt,total,0.015064738563107317,0.31616089848782863
puerto_montt,total,0.01878278201119368,0.2614853978609667
puerto_montt,total,0.023418454864128246,0.2124940002877267
puerto_montt,total,0.02919823207746202,0.16967552586277002
puerto_montt,total,0.036404483617543226,0.1331563617278822
puerto_montt,total,0.04538926959495454,0.10277062692295291
