longitude,latitude,mag,kernel_r_km
-73.204,-37.381,5.2,65.20801909509844
-71.529,-35.455,5.4,63.28649118465309
-73.144,-36.451,6.2,82.7450466925936
-70.703,-31.36,4.9,92.29792996663846
-72.965,-37.775,5.2,62.92637870033911
-72.75,-35.22,5.6,79.55542622456768
-72.167,-36.041,5.2,57.82006133094776
-72.014,-35.61,5.2,61.993887796181134
-70.67,-28.419,4.7,83.92228313786607
-73.711,-36.845,5.5,101.1205073532156
-73.24,-38.331,5.2,58.62226447342232
-71.764,-32.676,5.1,46.32494856272904
-73.223,-35.849,5.2,79.1691795513351
-71.79,-34.32,7.0,72.72795937640375
-72.385,-38.124,5.2,78.7366061505419
-73.471,-37.815,4.8,61.46799534739773
-72.615,-35.847,5.1,52.20847808949758
-72.22,-34.87,5.1,72.72795937640375
-69.626,-19.644,5.0,55.04048452828202
-67.637,-31.897,4.9,175.8974747095493
-71.133,-31.148,4.8,73.1191773908349
-69.988,-21.562,5.2,67.62935586404745
-69.992,-17.014,5.1,67.13956209275935
-73.078,-39.009,4.8,84.73925700859964
-71.655,-17.472,4.7,64.29578603411767
-70.602,-30.689,4.8,80.3919359925182
-73.767,-37.363,5.1,84.23167949593132
-72.562,-36.13,5.1,66.9400296656016
-69.793,-25.06,5.6,78.63884402811512
-73.448,-37.73,5.0,66.2647983549123
-71.128,-29.689,4.9,76.05562325275544
-71.269,-17.548,4.8,50.78011593959213
-74.03,-38.373,6.9,100.65568403280213
-72.871,-38.756,5.0,60.89925812242515
-71.907,-37.692,5.2,94.31843369496475
-67.284,-27.307,5.0,187.30732723625584
-70.557,-31.598,4.8,98.3155575984952
-71.783,-32.659,4.9,46.4494038648872
-71.54,-35.65,5.2,71.21980131864903
-72.078,-35.569,5.2,62.404465545109716
-72.601,-35.711,4.9,52.75426054871474
-71.784,-32.193,4.7,39.79290658198249
-70.344,-23.89,4.7,87.25107972669845
-69.376,-23.981,5.2,92.23868934203098
-70.78,-26.708,4.9,108.98376999867506
-69.964,-27.499,4.8,98.80552478389669
-72.229,-36.835,4.8,83.85526581877009
-70.38,-28.864,4.9,108.07824365629608
-70.169,-25.536,4.7,62.36279288236045
-69.724,-26.327,4.8,71.0493400249445
-71.195,-27.898,6.1,97.41694608905759
-69.27,-25.205,5.1,97.53396506315353
-71.359,-32.902,4.8,63.69943353371244
-71.659,-31.952,5.0,49.146482628624874
-65.897,-22.518,4.8,182.93575800297938
-72.966,-35.731,4.9,61.6082692219703
-70.221,-19.154,4.7,56.94943111828166
-71.169,-30.964,5.2,65.10128220535879
-70.238,-22.239,5.0,98.57829208936465
-70.489,-23.122,5.1,86.66815208497759
-71.82,-32.824,5.0,58.099295011702516
-72.223,-35.523,5.1,58.46678790818962
-71.093,-17.397,4.8,45.82839654184181
-72.266,-34.605,4.8,79.72200397519327
-70.093,-25.925,4.9,67.20018831013252
-69.71,-21.51,5.0,50.09055718791714
-70.42,-17.844,5.0,66.84600388668252
-72.862,-38.932,5.2,79.28775591995203
-70.742,-31.75,4.9,94.59907181791498
-71.121,-29.473,5.4,80.9918370051312
-72.767,-37.27,4.9,70.68399219975393
-71.859,-35.932,4.0,66.9400296656016
-71.51,-31.031,4.2,56.455782106129504
-70.083,-28.305,4.8,99.56718343784675
-72.878,-35.576,4.5,65.45154391145658
-72.583,-36.156,4.4,66.9312239125833
-70.29,-19.839,4.1,67.55647602947721
-71.694,-34.96,4.4,76.4675605717818
-72.007,-34.311,4.3,69.38569349866663
-71.901,-32.451,4.2,39.21930320681236
-72.151,-34.001,4.0,76.75816370070031
-71.026,-31.284,4.0,72.4536163527435
-70.764,-25.375,4.0,79.6858584933964
-65.951,-20.114,4.5,241.8744055863794
-71.433,-33.947,4.1,86.92902738318003
-71.573,-30.922,4.4,54.186973418384596
-71.482,-28.984,4.9,94.5188088289043
-66.448,-24.106,5.1,162.75965882561803
-71.398,-32.016,4.0,51.670311080345755
-69.525,-26.174,5.0,68.70774417074354
-71.852,-32.689,4.8,49.644023136800534
-72.0,-30.722,4.0,57.973442011860655
-70.13,-17.058,4.3,56.840517227086586
-71.598,-29.828,4.9,60.68718440745106
-73.46,-41.247,4.0,128.28110698366203
-72.786,-35.685,4.0,53.99320888544622
-72.58,-34.719,4.1,89.02103611667583
-71.582,-17.094,4.8,73.41646214317615
-71.571,-35.004,4.0,78.46358411299963
-69.933,-26.74,4.8,92.01588564139728
-70.161,-19.357,4.7,50.84442180783789
-71.152,-17.637,5.1,51.558778477670785
-70.602,-30.382,4.0,96.50854761060383
-72.117,-34.707,4.7,80.44543641815947
-72.727,-35.23,4.1,77.19884434296934
-66.901,-26.928,4.3,207.38409911928954
-70.586,-25.679,4.0,66.85245193321373
-73.97,-37.337,4.8,101.09538799639387
-73.596,-36.77,4.1,101.97947921310205
-65.81,-27.406,4.1,295.1982617939663
-66.177,-32.902,4.0,293.20345284528037
-71.048,-18.526,4.2,69.14133744752407
-70.787,-27.687,4.0,83.755251745922
-71.705,-32.612,4.2,42.62402680865409
-72.009,-30.681,4.0,60.17596623568169
-70.697,-18.711,4.1,77.70663591007606
-71.953,-30.316,4.0,57.157339299680515
-73.452,-38.661,4.7,71.68730549405835
-70.034,-24.622,4.0,88.91068722661625
-69.932,-23.404,4.4,75.05094641950006
-72.436,-37.178,4.5,82.22004026074762
-71.669,-30.542,4.5,39.10957033012414
-70.155,-25.635,4.0,59.134805585459794
-71.816,-32.234,4.0,36.79817207056295
-71.86,-34.875,4.3,75.19523947978544
-71.322,-33.939,4.7,83.3939715780526
-73.442,-36.933,4.0,88.62394421755232
-69.58,-21.48,5.0,56.64852941095747
-71.283,-35.118,4.8,77.9037426167359
-72.015,-33.62,4.7,83.02395752796308
-72.122,-33.067,4.5,71.54559961276458
-71.422,-28.751,5.0,101.18693143219255
-70.92,-19.94,6.7,100.51409694171954
-70.812,-19.357,4.9,78.22656350893782
-70.111,-19.446,5.1,47.55053215688381
-70.491,-20.589,6.7,99.16785730748263
-71.427,-29.8,4.6,59.82540601980602
-69.47,-20.45,4.5,79.20916148078233
-69.543,-22.615,4.4,79.00707786826246
-71.77,-32.562,4.7,36.72674874716631
-70.859,-30.165,4.4,76.44546881210695
-70.564,-30.745,5.1,83.64624202749248
-70.446,-24.233,4.4,98.52845185983318
