lon,lat,vs30
-74.761415178,-43.556588208,380
-74.761415178,-43.656588208,380
-74.761415178,-44.556588208,380
-74.761415178,-44.656588208,380
-74.761415178,-45.656588208,380
-74.761415178,-45.856588208,380
-74.761415178,-45.956588208,380
-74.761415178,-46.056588208,380
-74.761415178,-46.156588208,380
-74.761415178,-46.256588208,380
-74.761415178,-46.356588208,380
-74.761415178,-46.456588208,380
-74.761415178,-46.556588208,380
-74.761415178,-46.656588208,380
-74.761415178,-46.756588208,380
-74.761415178,-46.856588208,380
-74.761415178,-47.656588208,380
-74.761415178,-47.756588208,380
-74.761415178,-47.856588208,380
-74.761415178,-47.956588208,380
-74.761415178,-48.056588208,380
-74.761415178,-48.156588208,380
-74.761415178,-48.256588208,380
-74.761415178,-48.356588208,380
-74.761415178,-48.456588208,380
-74.761415178,-48.556588208,380
-74.761415178,-48.656588208,380
-74.761415178,-48.756588208,380
-74.761415178,-48.856588208,380
-74.761415178,-48.956588208,380
-74.761415178,-49.056588208,380
